,0
1613,anticipated
1614,apologized
1615,appeared
1616,applauded
1617,applied
1618,appointed
1619,appraised
1620,appreciated
1621,apprehended
1622,approached
1623,appropriated
1624,approved
1625,arbitrated
1626,argued
1627,arose
1628,arranged
1629,arrested
1630,arrived
1631,articulated
1632,ascertained
1633,asked
1634,assaulted
1635,assembled
1636,assessed
1637,assigned
1638,assisted
1639,assumed
1640,assured
1641,attached
1642,attacked
1643,attained
1644,attempted
1645,attended
1646,attracted
1647,audited
1648,augmented
1649,authorred
1650,authorized
1651,automated
1652,averted
1653,avoided
1654,awoke
1655,awarded
1656,backed
1657,baked
1658,balanced
1659,banned
1660,banged
1661,barred
1662,bared
1663,bargained
1664,batted
1665,bathed
1666,battled
1667,was
1668,beamed
1669,beared
1670,beat
1671,became
1672,begged
1673,began
1674,behaved
1675,beheld
1676,belonged
1677,bent
1678,berated
1679,beset
1680,betted
1681,bid
1682,binded
1683,bited
1684,blasted
1685,bleached
1686,bled
1687,blest
1688,blinded
1689,blinked
1690,blocked
1691,blotted
1692,blew
1693,blushed
1694,boasted
1695,boiled
1696,bolstered
1697,bolted
1698,bombed
1699,booked
1700,boosted
1701,bored
1702,borrowed
1703,bought
1704,bounced
1705,bowed
1706,boxed
1707,braked
1708,branched
1709,broke
1710,breathed
1711,bred
1712,briefed
1713,brightened
1714,brought
1715,broadcasted
1716,broadened
1717,broke
1718,bruised
1719,brushed
1720,bubbled
1721,bucked
1722,budgeted
1723,built
1724,built
1725,bumped
1726,burnt
1727,burst
1728,buried
1729,bushwhacked
1730,busted
1731,bought
1732,buzzed
1733,calculated
1734,calibrated
1735,called
1736,camped
1737,canvassed
1738,captured
1739,cared
1740,carried
1741,carved
1742,cast
1743,catalogged
1744,catalogued
1745,caught
1746,categorized
1747,catered
1748,centralized
1749,chaired
1750,challenged
1751,changed
1752,charged
1753,charted
1754,chased
1755,cheated
1756,checked
1757,cheered
1758,chewed
1759,choked
1760,chose
1761,chopped
1762,claimed
1763,clapped
1764,clarified
1765,clashed
1766,classified
1767,cleaned
1768,cleared
1769,climbed
1770,clung
1771,clipped
1772,closed
1773,clothed
1774,clutched
1775,coached
1776,coded
1777,coiled
1778,collaborated
1779,collapsed
1780,collared
1781,collated
1782,collected
1783,collided
1784,colorred
1785,combed
1786,combined
1787,came
1788,comforted
1789,commanded
1790,commandeered
1791,commenced
1792,communicated
1793,compared
1794,competed
1795,compiled
1796,complained
1797,completed
1798,composed
1799,computed
1800,conceived
1801,concentrated
1802,conceptualized
1803,concerned
1804,conciliated
1805,concluded
1806,condensed
1807,conducted
1808,conferred
1809,confessed
1810,confirmed
1811,confronted
1812,confused
1813,connected
1814,conserved
1815,considered
1816,consisted
1817,consolidated
1818,constructed
1819,consulted
1820,contacted
1821,contained
1822,continued
1823,contracted
1824,contributed
1825,controlled
1826,converted
1827,conveyed
1828,convinced
1829,cooperated
1830,cooperated
1831,coordinated
1832,copied
1833,corrected
1834,correlated
1835,corresponded
1836,cost
1837,coughed
1838,counselled
1839,counted
1840,covered
1841,cracked
1842,crammed
1843,crashed
1844,crawled
1845,created
1846,crept
1847,crippled
1848,critiqueed
1849,crossed
1850,crouched
1851,crushed
1852,cried
1853,cultivated
1854,cured
1855,curled
1856,curved
1857,customized
1858,cut
1859,cycled
1860,dammed
1861,damaged
1862,danced
1863,dared
1864,darted
1865,dashed
1866,dealt
1867,debated
1868,debugged
1869,decayed
1870,deceived
1871,decided
1872,decked
1873,decorated
1874,decreased
1875,dedicated
1876,deduced
1877,deducted
1878,defended
1879,deferred
1880,defined
1881,delayed
1882,delegated
1883,delighted
1884,delineated
1885,delivered
1886,demonstrated
1887,depended
1888,depicted
1889,depreciated
1890,derived
1891,descended
1892,described
1893,deserted
1894,deserved
1895,designed
1896,destroyed
1897,detailed
1898,detected
1899,determined
1900,developed
1901,devised
1902,devoted
1903,diagnosed
1904,diagrammed
1905,dictated
1906,differentiated
1907,dug
1908,directed
1909,disagreed
1910,disappeared
1911,disapproved
1912,disarmed
1913,discarded
1914,discharged
1915,disclosed
1916,discovered
1917,discriminated
1918,discussed
1919,disliked
1920,dispatched
1921,dispensed
1922,displayed
1923,disproved
1924,dissected
1925,disseminated
1926,distinguished
1927,distributed
1928,ditched
1929,dove
1930,diversified
1931,diverted
1932,divided
1933,did
1934,documented
1935,dodged
1936,dominated
1937,doped
1938,doubled
1939,doubted
1940,doused
1941,banked
1942,dragged
1943,drained
1944,dramatized
1945,draped
1946,drew
1947,dreamt
1948,dressed
1949,drew
1950,drilled
1951,drank
1952,dripped
1953,drove
1954,dropped
1955,drowned
1956,drugged
1957,drummed
1958,dried
1959,duelled
1960,dunked
1961,dusted
1962,dwelt
1963,earned
1964,eased
1965,ate
1966,edged
1967,edited
1968,educated
1969,effected
1970,ejected
1971,elected
1972,elevated
1973,elicited
1974,eliminated
1975,eloped
1976,eluded
1977,embarrassed
1978,emerged
1979,emphasized
1980,employed
1981,emptied
1982,enabled
1983,enacted
1984,encouraged
1985,ended
1986,endured
1987,enforced
1988,engaged
1989,engineered
1990,enhanced
1991,enjoined
1992,enjoyed
1993,enlarged
1994,enlightened
1995,enlisted
1996,enriched
1997,ensnared
1998,ensured
1999,entered
2000,entertained
2001,enumerated
2002,equipped
2003,erupted
2004,scaped
2005,established
2006,estimated
2007,evacuated
2008,evaded
2009,evaluated
2010,evicted
2011,examined
2012,exceeded
2013,exchanged
2014,excited
2015,excused
2016,executed
2017,exercised
2018,exerted
2019,exhaled
2020,exhibited
2021,existed
2022,exited
2023,expanded
2024,expected
2025,expedited
2026,expelled
2027,experimented
2028,explained
2029,exploded
2030,explored
2031,exposed
2032,expressed
2033,extended
2034,extirpated
2035,extracted
2036,extrapolated
2037,extricated
2038,fabricated
2039,faced
2040,facilitated
2041,faded
2042,failed
2043,faked
2044,fell
2045,faltered
2046,familiarized
2047,fanned
2048,fancied
2049,fashioned
2050,fasted
2051,fastened
2052,faxed
2053,feared
2054,feed
2055,felt
2056,fenced
2057,fended
2058,fetched
2059,fought
2060,filed
2061,filled
2062,filmed
2063,filtered
2064,finalized
2065,financed
2066,found
2067,fine-tuned
2068,fingered
2069,fired
2070,fitted
2071,fixed
2072,flagged
2073,flapped
2074,flashed
2075,flattened
2076,flaunted
2077,flayed
2078,fled
2079,flicked
2080,flinched
2081,flung
2082,flipped
2083,flitted
2084,floated
2085,flogged
2086,flooded
2087,floundered
2088,flouted
2089,flowed
2090,flowered
2091,flushed
2092,flew
2093,focussed
2094,folded
2095,followed
2096,fondled
2097,fooled
2098,forbade
2099,forced
2100,forecasted
2101,foregoed
2102,foresaw
2103,foretold
2104,forgot
2105,forgave
2106,formed
2107,formulated
2108,fornicated
2109,forsook
2110,fortified
2111,forwarded
2112,fostered
2113,found
2114,framed
2115,froze
2116,frightened
2117,fried
2118,fumbled
2119,funded
2120,furnished
2121,furthered
2122,gained
2123,galloped
2124,gathered
2125,gauged
2126,gazed
2127,generated
2128,gestured
2129,got
2130,gave
2131,glowed
2132,glued
2133,gnawn
2134,went
2135,gossipped
2136,gouged
2137,governed
2138,grabbed
2139,graded
2140,graduated
2141,granted
2142,grappled
2143,grasped
2144,grated
2145,greased
2146,greeted
2147,grinned
2148,ground
2149,gript
2150,griped
2151,groaned
